,channel,pedestal,pedestal_error,sigma,sigma_error
0,0,1691.8451396718592,0.01867324728477667,2.33240415012338,0.01311124356648516
1,1,1780.9824334468942,0.019623783261510815,2.3906929215050727,0.015432319944524101
2,2,1730.70108480459,0.020436411933478234,2.5500551826058078,0.01493732445523743
3,3,1731.2927805225308,0.019035031896413666,2.3078872892164295,0.014609995929978102
4,4,1718.0155136024202,0.020840620836726498,2.5753029547559705,0.01512239964191775
5,5,1712.2922153342304,0.020214883594711807,2.4937568474137684,0.01474313986745141
6,6,1720.298761428748,0.018696756335139234,2.242419072976757,0.01372145613005296
7,7,1754.5716173855708,0.02148645716264272,2.5998273632053297,0.01562774054893156
8,8,1709.7163446198356,0.019604356931203555,2.3538953205043933,0.013770749761265164
9,9,1717.2827812111873,0.020861535406979437,2.5002368067559657,0.015277174940616233
10,10,1701.1343010681178,0.021628638868436696,2.4938935648607075,0.017320482085892153
11,11,1725.9698026253175,0.02137576200660238,2.5169550512594525,0.015915839552739026
12,12,1728.5772458181837,0.022831621220443393,2.6963947577001353,0.017166239810065643
13,13,1714.2524910135396,0.02322558595170825,2.7189017963348827,0.016569570259420487
14,14,1687.9194576395537,0.02138401915734505,2.4591676783871126,0.015442161472085115
15,15,1730.6230991125467,0.021015904941585787,2.4289189592321567,0.014818866062606417
16,16,1716.6076548230376,0.02259431645927815,2.5775830095177517,0.016109523542566596
17,17,1698.8442466706906,0.021331827101671176,2.469677926761893,0.015119427097905595
18,18,1677.9656013709223,0.021269755895282634,2.4802995081298578,0.015265212510828166
19,19,1714.1671222593359,0.021537431604383532,2.449166443466238,0.016907060872073144
20,20,1685.086582977547,0.021480946881119147,2.4769048930257473,0.016958810738607267
21,21,1706.1094244072049,0.021779626722564834,2.5292450629312184,0.017822065090708508
22,22,1707.9588581216751,0.020482159869758355,2.4152285174502515,0.016231433427610006
23,23,1713.698557020072,0.018053965531699703,2.172791740538669,0.013722839651712367
24,24,1707.8390828148456,0.021316965898064477,2.609598672523138,0.015891513350448604
25,25,1719.1137498416265,0.020952326089179133,2.600056007629708,0.015129606669797116
26,26,1678.3761432209358,0.016363800136360497,1.9994748967223508,0.011505965650193593
27,27,1724.7496583044792,0.019682571667756006,2.45337171912847,0.014333917106120562
28,28,1711.2204362475907,0.019484312592649242,2.3657030359936866,0.015130408229094424
29,29,1687.2150896123856,0.018995458102029503,2.3228423748755804,0.014572664198811681
30,30,1709.5365356968039,0.017080393165428618,2.1003533998679194,0.012409850233569756
31,31,1714.7295862372794,0.017793829462041486,2.227749592458534,0.012592997945182826
32,32,1647.4604271935239,0.018683831047462983,2.3398950953752102,0.013123797562330952
33,33,1684.6481245368627,0.019877578390646154,2.4874744721894095,0.014637144319246159
34,34,1705.6899673243424,0.020716289335981963,2.578138173408939,0.015230436415399236
35,35,1713.8490640691705,0.019593145294576404,2.439937962138088,0.014232927812063128
36,36,1656.0841784568977,0.019577111462363003,2.372056452031366,0.015173407282308038
37,37,1680.7924210704373,0.019868754745369244,2.4565624664698493,0.013989049290095285
38,38,1725.8759786155924,0.021800000405457286,2.674823351677078,0.0163588827796723
39,39,1651.1589548787663,0.021019082953900228,2.483762507235415,0.016848380066040926
40,40,1669.968024036925,0.02006402878502785,2.4511999915170817,0.015222550675838047
41,41,1678.7824571897959,0.020976262327381485,2.546962886232759,0.015385171733136452
42,42,1719.610437319908,0.021732351218881823,2.6168778794503758,0.01588091838381157
43,43,1665.9284529701524,0.02000602723998302,2.408786289260017,0.013854244568071852
44,44,1688.5857996161214,0.02083008715251164,2.4818396440236117,0.014669953608117993
45,45,1690.4110506846962,0.022510175564394285,2.6702252805219935,0.016282670556844212
46,46,1654.2806137054372,0.022512490267624974,2.6855104280161988,0.016666159529906598
47,47,1645.2690060339417,0.018043876321305562,2.09835618198118,0.012947099960709911
48,48,1629.085094487347,0.02085694907329745,2.490553737395941,0.015030751983081021
49,49,1661.9871307585227,0.022431642727616354,2.5809343710833437,0.015927835022229733
50,50,1687.0,inf,2.5,inf
51,51,1712.8827142875152,0.02111826055483739,2.5152626706344483,0.015489393565559203
52,52,1709.4359039104454,0.01853405601873021,2.157407322960589,0.01349372204339883
53,53,1678.715271805084,0.021858168117613985,2.6005999666825055,0.015726612324446266
54,54,1678.6867509707376,0.02080836280695546,2.5071697189835325,0.015062313185159784
55,55,1672.7207560207494,0.022590871664457057,2.7270315811119756,0.01714509624100793
56,56,1669.1203781152556,0.017643974152739612,2.1275893883323183,0.01355676778820853
57,57,1678.9389433867407,0.013681083647229305,1.5385903006735284,0.01212809359653951
