,channel,pedestal,pedestal_error,sigma,sigma_error
73,73,1693.9367357867325,0.02449815634839964,2.8060229856828016,0.018050298326292832
74,74,1692.4577089794625,0.02598177136858345,2.929561488346953,0.01893373426687117
75,75,1661.9688406711705,0.026416441409919385,2.9162252691847423,0.020076192533158708
76,76,1647.1609247499925,0.025389929287842953,2.790365317162755,0.019132126704172824
77,77,1677.9946253012288,0.026691525144353412,2.856521246802708,0.0200066783269483
78,78,1639.85711877757,0.02673046151257763,2.826779164569911,0.02033261871710025
79,79,1682.1630015445542,0.028541869799252117,3.0560170291275637,0.021617862464544425
80,80,1656.5083566964322,0.026942235383473984,2.8995028766308546,0.020351594711672954
81,81,1675.0871703258392,0.025917906681347778,2.8402760735487798,0.019215275994174826
82,82,1662.2301508181556,0.02551885855499527,2.7169706140886154,0.019937476186541566
83,83,1649.545353082147,0.021489056663267735,2.4041976899578703,0.016034734490415994
84,84,1634.066434265561,0.023463355373895697,2.649947088496225,0.017428426518871363
85,85,1637.732657804507,0.021358496906916994,2.45561336132185,0.015742739509092604
86,86,1662.0475391456666,0.023100671004265525,2.6122643004895347,0.017896710625733395
87,87,1647.3089641789165,0.023210558450420773,2.70063129789387,0.017762748260117082
88,88,1679.608140693663,0.02086170065670073,2.470780285746833,0.015498881385680077
89,89,1673.9539508288879,0.022596287300215172,2.7076927419588244,0.016737577920438625
90,90,1645.6831199851335,0.0236952136139034,2.8627682478038725,0.017704161809647255
91,91,1653.0614591125561,0.02189191024401415,2.6434466850945078,0.01624780734837307
92,92,1666.7005996565429,0.020285487899685276,2.43840399523886,0.01466284754275795
93,93,1645.784259401534,0.022155659130248445,2.711994821932116,0.016476177732914588
94,94,1678.7877983592346,0.022277863667465113,2.7270751067621233,0.016512839445879928
95,95,1652.6211675821369,0.030421668144312547,3.4686838138418925,0.025217952600364035
96,96,1666.9136480802156,0.0300808227572693,3.6724147359351638,0.021215061489925247
97,97,1675.8820853791633,0.02608495974342379,3.1815568930974263,0.01866226539450584
98,98,1669.2947848626593,0.028175456039501116,3.3950131724158625,0.02064501861523093
99,99,1693.1897403433893,0.027343960433329543,3.3153865067011923,0.01971634672773519
100,100,1669.9002426011905,0.028031298894121547,3.3535152827541284,0.020569026790523647
101,101,1695.8189267760463,0.026919061073259438,3.229447211481827,0.019183678452572087
