ch,gain,gain_err,intercept,intercept_err
0,35.452290471289245,2.050255242375715,3.552713683558001e-15,3.55271368356575e-16
1,37.31540228344125,1.8369140584701922,-1.1755662893782712,0.11762723271740946
2,34.906060489624,1.7458572813246485,3.552713683558001e-15,3.55271368356575e-16
3,34.83125457782379,1.7427630089300135,3.552713678800501e-15,3.55271368356575e-16
4,34.83125457782379,1.7427630089300135,3.552713678800501e-15,3.55271368356575e-16
5,34.29817714389175,1.746699589045905,1.176211799216832,0.11762485594625735
6,34.52625607823607,1.6687818730929553,-2.35548899866308,0.2350877066236487
7,34.53502539778649,1.6972708397861482,-1.1770832339959056,0.11762260355912864
8,33.627673018334335,1.6518402947587587,-1.176064949915141,0.11762176365053771
9,33.66603350558317,1.6837338435395515,3.552713678800501e-15,3.55271368356575e-16
10,33.257086179149994,1.6628883123426326,3.552713678800501e-15,3.55271368356575e-16
11,33.10817372581002,1.6256387168744166,-1.1766734196219975,0.11762038833700027
12,31.611564989687064,1.6123245430484014,1.1772638242840598,0.1176223971528923
13,33.632890330150346,1.6244326940278726,-2.3512220353155677,0.23508042106639107
14,31.665718903824594,1.6489777116014175,2.3545008157547835,0.2351101541034273
15,31.348099225842997,1.5683209341827518,3.552713678800501e-15,3.55271368356575e-16
16,35.264545982691175,1.7337440709763094,-1.177203760078828,0.11762261716431631
17,34.553491422932126,1.759820868982761,1.1759039112459526,0.11762503541157535
18,34.7859829961626,1.682016854812204,-2.3590283714566183,0.235076970498263
19,33.61702105922853,1.7122270887141813,1.1768325980766758,0.11762432056890143
20,33.97218106214421,1.6995067275864868,3.552713678800501e-15,3.55271368356575e-16
21,33.113676987614255,1.6872444918708558,1.1762861331940095,0.11762315078521766
22,33.33433253556599,1.698331909647795,1.1761781763424841,0.11762324147842984
23,33.257086179149994,1.6628883123426326,3.552713678800501e-15,3.55271368356575e-16
24,33.329842415075525,1.666535876254919,3.552713678800501e-15,3.55271368356575e-16
25,33.01233665595801,1.6208699595603913,-1.1765749409534594,0.11762031894784016
26,33.01372984740584,1.6506986554202725,3.552713678800501e-15,3.55271368356575e-16
27,30.000329879851915,1.5357983595069613,1.173011907649499,0.11761526509624377
28,29.80519362863562,1.493370070118865,3.552713678800501e-15,3.55271368356575e-16
29,29.703327022413838,1.554314502661209,2.341319783575878,0.2350522377085718
30,31.289436482825877,1.5360771558658834,-1.1753265915791744,0.11761931377328057
31,28.823719990295153,1.6660478639636727,3.552713683558001e-15,3.55271368356575e-16
32,25.204348262781966,1.466247891551434,0.29405243544641907,0.02941127464428845
33,26.965490678300387,1.3287948803636924,-0.7650128104984395,0.07645950406613702
34,26.061547267365384,1.3110620483034967,0.2940542090348982,0.029411126410656446
35,27.372452656312586,1.376350566250976,0.29413333195900065,0.029411201864595404
36,26.773575225811665,1.346534467512357,0.294084865310304,0.02941116884296102
37,25.7728206774535,1.2992094483999654,0.2938751160611507,0.02941105576958381
38,27.79782675298128,1.3708498650227714,-0.7644175176730156,0.07646076327420923
39,27.346064796524818,1.3753965412246059,0.29411427508118027,0.02941120626167814
40,28.050784920534817,1.4104325526635577,0.29407888304106494,0.029411214598299054
41,27.010023909487543,1.232789769444425,1.17658114462255,0.1176031526463944
42,26.817517719744437,1.34889063261205,0.29415293724453684,0.029411196931517503
43,27.24959850323814,1.3438529730294038,-0.7641446379769814,0.07646060264489125
44,26.81184147811007,1.3485352172917404,0.294076444438631,0.029411172352541974
45,26.775673620523477,1.3766071013450438,1.3506135124363186,0.13523696619238412
46,27.287682642142066,1.3724934543045368,0.2940493982305039,0.02941117891553899
47,26.668781561341056,1.3711625228063906,1.3507667567159682,0.1352368873015942
